name,artist,album,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
Maid of the Sweet Brown Knowe,Johnny McEvoy,Legends of Irish Music,0VVsYiYWE76NZe76d4aZmw,0,0.722,0.534,2,-10.161,1,0.0387,0.827,0.0,0.256,0.964,114.48,audio_features,0VVsYiYWE76NZe76d4aZmw,spotify:track:0VVsYiYWE76NZe76d4aZmw,https://api.spotify.com/v1/tracks/0VVsYiYWE76NZe76d4aZmw,https://api.spotify.com/v1/audio-analysis/0VVsYiYWE76NZe76d4aZmw,167600,4,country
I Do (Cherish You),Mark Wills,Will You Be My Country Valentine,3eDvO3DsldGqlio0LPYgBm,0,0.586,0.477,6,-8.136,1,0.0243,0.59,0.0,0.0935,0.308,82.987,audio_features,3eDvO3DsldGqlio0LPYgBm,spotify:track:3eDvO3DsldGqlio0LPYgBm,https://api.spotify.com/v1/tracks/3eDvO3DsldGqlio0LPYgBm,https://api.spotify.com/v1/audio-analysis/3eDvO3DsldGqlio0LPYgBm,199707,4,country
Have A Drink On Me,Frankie Davidson,Great Classic Aussie Pub Songs,7elKy2GcqlhbeLzdz8ZLTW,1,0.488,0.81,5,-6.948,1,0.147,0.443,0.0,0.136,0.924,201.693,audio_features,7elKy2GcqlhbeLzdz8ZLTW,spotify:track:7elKy2GcqlhbeLzdz8ZLTW,https://api.spotify.com/v1/tracks/7elKy2GcqlhbeLzdz8ZLTW,https://api.spotify.com/v1/audio-analysis/7elKy2GcqlhbeLzdz8ZLTW,164627,4,country
Can't See Blues,Peetie Wheatstraw,Macho Persona,3jj9P9ADXqfsVx0y9IxkA9,0,0.509,0.157,11,-17.026,1,0.0491,0.971,0.00114,0.203,0.792,156.395,audio_features,3jj9P9ADXqfsVx0y9IxkA9,spotify:track:3jj9P9ADXqfsVx0y9IxkA9,https://api.spotify.com/v1/tracks/3jj9P9ADXqfsVx0y9IxkA9,https://api.spotify.com/v1/audio-analysis/3jj9P9ADXqfsVx0y9IxkA9,182160,3,country
I Don't Need A Thing At All,Gene Watson,Love In The Hot Afternoon,5i4JB4z6nN5mPbKfvJ13bW,1,0.562,0.328,4,-13.066,1,0.0246,0.176,0.0131,0.265,0.174,82.779,audio_features,5i4JB4z6nN5mPbKfvJ13bW,spotify:track:5i4JB4z6nN5mPbKfvJ13bW,https://api.spotify.com/v1/tracks/5i4JB4z6nN5mPbKfvJ13bW,https://api.spotify.com/v1/audio-analysis/5i4JB4z6nN5mPbKfvJ13bW,196480,4,country
Tuning,Hot Tuna,"2008-05-20 The Triple Door, Seattle, WA",05luALz1qXXYcuAorzDyoC,0,0.294,0.436,0,-22.627,1,0.487,0.877,0.29,0.968,0.542,89.808,audio_features,05luALz1qXXYcuAorzDyoC,spotify:track:05luALz1qXXYcuAorzDyoC,https://api.spotify.com/v1/tracks/05luALz1qXXYcuAorzDyoC,https://api.spotify.com/v1/audio-analysis/05luALz1qXXYcuAorzDyoC,34907,3,country
Kings of the Party,Brownsville Station,Classic Rock & Metal,4VUYqoBi4IfHKSG5RkM2Wl,0,0.514,0.693,2,-11.975,0,0.297,0.265,2.07e-05,0.0707,0.567,175.776,audio_features,4VUYqoBi4IfHKSG5RkM2Wl,spotify:track:4VUYqoBi4IfHKSG5RkM2Wl,https://api.spotify.com/v1/tracks/4VUYqoBi4IfHKSG5RkM2Wl,https://api.spotify.com/v1/audio-analysis/4VUYqoBi4IfHKSG5RkM2Wl,256093,4,country
Southern Cross,"Crosby, Stills & Nash",Clear Lake Cottage Songs,2kHBvjMFLpemacK3yy4oCm,0,0.668,0.447,2,-11.124,1,0.0312,0.48,2.89e-06,0.153,0.588,81.415,audio_features,2kHBvjMFLpemacK3yy4oCm,spotify:track:2kHBvjMFLpemacK3yy4oCm,https://api.spotify.com/v1/tracks/2kHBvjMFLpemacK3yy4oCm,https://api.spotify.com/v1/audio-analysis/2kHBvjMFLpemacK3yy4oCm,281000,4,country
What He Didn't Do,Carly Pearce,29: Written In Stone,5OLaVCAM2pqg7X9mAM2W8M,68,0.628,0.632,9,-5.932,1,0.0325,0.257,0.0,0.288,0.559,137.854,audio_features,5OLaVCAM2pqg7X9mAM2W8M,spotify:track:5OLaVCAM2pqg7X9mAM2W8M,https://api.spotify.com/v1/tracks/5OLaVCAM2pqg7X9mAM2W8M,https://api.spotify.com/v1/audio-analysis/5OLaVCAM2pqg7X9mAM2W8M,191227,4,country
Gloria,Bonnie Prince Billy,Gloria / Drie Vragen,3B5rBIx9psJgmqZweGR9TC,17,0.43,0.0878,9,-12.623,0,0.0473,0.968,0.0369,0.111,0.196,101.409,audio_features,3B5rBIx9psJgmqZweGR9TC,spotify:track:3B5rBIx9psJgmqZweGR9TC,https://api.spotify.com/v1/tracks/3B5rBIx9psJgmqZweGR9TC,https://api.spotify.com/v1/audio-analysis/3B5rBIx9psJgmqZweGR9TC,189355,4,country
